날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 07월 04일,"15,600 ","15,350 ","15,650 ","14,850 ","79,679,000 ",1.63%
2019년 07월 03일,"15,350 ","15,900 ","15,900 ","15,200 ","81,728,000 ",-3.46%
2019년 07월 02일,"15,900 ","14,950 ","15,900 ","14,800 ","1,640,000 ",6.71%
2019년 07월 01일,"14,900 ","14,700 ","15,150 ","14,400 ","76,042,000 ",1.02%
2019년 06월 28일,"14,750 ","15,050 ","15,100 ","14,600 ","58,092,000 ",-1.67%
2019년 06월 27일,"15,000 ","14,850 ","15,300 ","14,700 ","94,924,000 ",1.69%
2019년 06월 26일,"14,750 ","14,850 ","14,900 ","14,650 ","39,085,000 ",-1.01%
2019년 06월 25일,"14,900 ","15,000 ","15,200 ","14,650 ","56,549,000 ",0.68%
2019년 06월 24일,"14,800 ","14,800 ","15,100 ","14,650 ","37,506,000 ",0.34%
2019년 06월 21일,"14,750 ","15,250 ","15,300 ","14,750 ","69,092,000 ",-2.64%
2019년 06월 20일,"15,150 ","15,100 ","15,250 ","14,750 ","61,529,000 ",0.33%
2019년 06월 19일,"15,100 ","15,650 ","15,650 ","14,800 ","1,080,000 ",-1.31%
2019년 06월 18일,"15,300 ","16,450 ","16,750 ","15,250 ","1,560,000 ",-5.26%
2019년 06월 17일,"16,150 ","15,400 ","16,600 ","15,100 ","1,400,000 ",4.53%
2019년 06월 14일,"15,450 ","15,750 ","15,750 ","15,100 ","54,617,000 ",-1.90%
2019년 06월 13일,"15,750 ","15,500 ","15,850 ","15,300 ","60,944,000 ",1.61%
2019년 06월 12일,"15,500 ","14,850 ","15,750 ","14,750 ","1,310,000 ",4.73%
2019년 06월 11일,"14,800 ","14,800 ","15,050 ","14,700 ","36,767,000 ",0.34%
2019년 06월 10일,"14,750 ","15,350 ","15,350 ","14,700 ","51,155,000 ",-2.64%
2019년 06월 07일,"15,150 ","14,650 ","15,200 ","14,500 ","46,407,000 ",3.77%
2019년 06월 05일,"14,600 ","15,250 ","15,300 ","14,600 ","60,529,000 ",-1.68%
2019년 06월 04일,"14,850 ","14,850 ","15,050 ","14,550 ","41,797,000 ",0.00%
2019년 06월 03일,"14,850 ","14,350 ","14,950 ","14,300 ","47,862,000 ",1.71%
2019년 05월 31일,"14,600 ","14,500 ","15,000 ","14,400 ","28,190,000 ",0.34%
2019년 05월 30일,"14,550 ","14,550 ","14,900 ","14,350 ","31,773,000 ",0.69%
2019년 05월 29일,"14,450 ","14,850 ","14,900 ","14,400 ","42,088,000 ",-3.67%
2019년 05월 28일,"15,000 ","14,850 ","15,200 ","14,600 ","41,904,000 ",1.01%
2019년 05월 27일,"14,850 ","15,200 ","15,500 ","14,300 ","68,429,000 ",-1.66%
2019년 05월 24일,"15,100 ","15,200 ","15,500 ","15,000 ","41,516,000 ",-1.31%
2019년 05월 23일,"15,300 ","15,450 ","15,800 ","15,150 ","51,094,000 ",-0.97%
2019년 05월 22일,"15,450 ","15,600 ","15,600 ","14,950 ","49,833,000 ",0.00%
2019년 05월 21일,"15,450 ","14,650 ","15,650 ","14,600 ","87,464,000 ",5.10%
2019년 05월 20일,"14,700 ","14,850 ","15,150 ","14,550 ","62,031,000 ",0.34%
2019년 05월 17일,"14,650 ","14,350 ","15,550 ","14,300 ","2,100,000 ",4.27%
2019년 05월 16일,"14,050 ","14,600 ","14,600 ","13,900 ","42,938,000 ",-2.77%
2019년 05월 15일,"14,450 ","14,650 ","14,850 ","14,250 ","53,360,000 ",2.48%
2019년 05월 14일,"14,100 ","13,500 ","14,150 ","13,350 ","69,798,000 ",2.17%
2019년 05월 13일,"13,800 ","14,100 ","14,400 ","13,800 ","50,205,000 ",-3.16%
2019년 05월 10일,"14,250 ","14,050 ","14,450 ","13,800 ","63,617,000 ",1.06%
2019년 05월 09일,"14,100 ","15,350 ","15,450 ","14,000 ","1,150,000 ",-7.54%
2019년 05월 08일,"15,250 ","15,200 ","15,550 ","15,150 ","45,576,000 ",-1.93%
2019년 05월 07일,"15,550 ","15,750 ","16,050 ","15,400 ","64,314,000 ",-4.01%
