날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 02월 18일,"102,000 ","104,000 ","104,500 ","101,500 ","2,500,000 ",-2.86%
2020년 02월 17일,"105,000 ","104,500 ","106,000 ","103,500 ","1,190,000 ",0.48%
2020년 02월 14일,"104,500 ","101,500 ","105,000 ","101,000 ","1,880,000 ",2.45%
2020년 02월 13일,"102,000 ","101,000 ","103,500 ","100,500 ","3,520,000 ",2.00%
2020년 02월 12일,"100,000 ","100,500 ","101,000 ","99,100 ","2,540,000 ",0.20%
2020년 02월 11일,"99,800 ","99,900 ","100,500 ","99,000 ","1,820,000 ",1.01%
2020년 02월 10일,"98,800 ","98,000 ","99,200 ","97,400 ","1,670,000 ",-0.50%
2020년 02월 07일,"99,300 ","100,000 ","100,500 ","98,400 ","1,830,000 ",-1.19%
2020년 02월 06일,"100,500 ","98,900 ","101,000 ","98,300 ","2,860,000 ",2.87%
2020년 02월 05일,"97,700 ","99,300 ","99,300 ","96,900 ","2,720,000 ",0.62%
2020년 02월 04일,"97,100 ","94,800 ","97,500 ","94,500 ","3,160,000 ",2.53%
2020년 02월 03일,"94,700 ","91,800 ","95,600 ","91,500 ","3,690,000 ",1.28%
2020년 01월 31일,"93,500 ","94,500 ","97,500 ","93,500 ","4,500,000 ",-0.53%
2020년 01월 30일,"94,000 ","97,800 ","97,800 ","93,800 ","3,220,000 ",-3.98%
2020년 01월 29일,"97,900 ","96,900 ","99,000 ","96,700 ","2,740,000 ",1.66%
2020년 01월 28일,"96,300 ","95,500 ","96,900 ","95,000 ","3,620,000 ",-2.43%
2020년 01월 23일,"98,700 ","101,000 ","101,000 ","98,200 ","2,640,000 ",-2.28%
2020년 01월 22일,"101,000 ","99,000 ","101,000 ","99,000 ","2,150,000 ",1.71%
2020년 01월 21일,"99,300 ","100,500 ","100,500 ","99,000 ","1,440,000 ",-0.60%
2020년 01월 20일,"99,900 ","100,000 ","101,000 ","99,600 ","1,780,000 ",0.91%
2020년 01월 17일,"99,000 ","100,500 ","101,500 ","98,800 ","2,230,000 ",-0.20%
2020년 01월 16일,"99,200 ","97,400 ","99,400 ","97,400 ","2,810,000 ",1.02%
2020년 01월 15일,"98,200 ","99,900 ","99,900 ","98,000 ","2,730,000 ",-2.29%
2020년 01월 14일,"100,500 ","101,500 ","103,500 ","99,900 ","2,910,000 ",0.00%
2020년 01월 13일,"100,500 ","99,000 ","101,000 ","98,000 ","2,230,000 ",1.62%
2020년 01월 10일,"98,900 ","99,100 ","99,700 ","97,900 ","2,820,000 ",-0.10%
2020년 01월 09일,"99,000 ","98,900 ","99,000 ","97,400 ","3,580,000 ",1.64%
2020년 01월 08일,"97,400 ","96,400 ","99,500 ","95,200 ","6,790,000 ",3.62%
2020년 01월 07일,"94,000 ","94,500 ","95,400 ","94,000 ","2,460,000 ",-0.32%
2020년 01월 06일,"94,300 ","93,000 ","95,300 ","92,800 ","2,570,000 ",-0.21%
2020년 01월 03일,"94,500 ","96,500 ","97,900 ","94,300 ","3,010,000 ",-0.21%
2020년 01월 02일,"94,700 ","96,000 ","96,200 ","94,100 ","2,340,000 ",0.64%
2019년 12월 30일,"94,100 ","95,600 ","96,300 ","94,100 ","1,860,000 ",-1.98%
2019년 12월 27일,"96,000 ","94,800 ","97,000 ","94,200 ","2,230,000 ",1.27%
2019년 12월 26일,"94,800 ","94,000 ","95,100 ","93,500 ","1,550,000 ",1.07%
2019년 12월 24일,"93,800 ","95,000 ","95,600 ","93,800 ","1,460,000 ",-0.85%
2019년 12월 23일,"94,600 ","95,800 ","96,200 ","94,100 ","1,700,000 ",-0.42%
2019년 12월 20일,"95,000 ","94,100 ","95,100 ","93,700 ","2,780,000 ",1.50%
2019년 12월 19일,"93,600 ","95,400 ","96,400 ","93,400 ","4,650,000 ",0.65%
2019년 12월 18일,"93,000 ","93,400 ","94,500 ","91,800 ","3,420,000 ",0.22%
2019년 12월 17일,"92,800 ","91,000 ","93,800 ","90,200 ","5,060,000 ",4.74%
2019년 12월 16일,"88,600 ","87,200 ","89,400 ","87,000 ","2,540,000 ",0.80%
2019년 12월 13일,"87,900 ","87,200 ","88,200 ","85,800 ","5,760,000 ",5.40%
2019년 12월 12일,"83,400 ","82,000 ","83,500 ","82,000 ","5,110,000 ",3.47%
2019년 12월 11일,"80,600 ","80,700 ","81,000 ","80,100 ","1,980,000 ",-0.12%
2019년 12월 10일,"80,700 ","79,800 ","80,900 ","79,400 ","1,790,000 ",0.00%
2019년 12월 09일,"80,700 ","81,300 ","81,800 ","80,700 ","1,990,000 ",0.12%
2019년 12월 06일,"80,600 ","79,300 ","80,800 ","79,100 ","2,490,000 ",2.28%
2019년 12월 05일,"78,800 ","79,800 ","79,900 ","78,000 ","3,260,000 ",1.42%
2019년 12월 04일,"77,700 ","78,000 ","78,100 ","76,800 ","4,130,000 ",-1.27%
2019년 12월 03일,"78,700 ","78,100 ","79,300 ","77,300 ","3,860,000 ",-2.24%
2019년 12월 02일,"80,500 ","80,900 ","81,800 ","80,500 ","1,860,000 ",-0.49%
2019년 11월 29일,"80,900 ","82,500 ","82,800 ","80,700 ","2,020,000 ",-2.29%
2019년 11월 28일,"82,800 ","83,100 ","83,800 ","82,500 ","1,400,000 ",0.12%
2019년 11월 27일,"82,700 ","82,400 ","83,200 ","82,000 ","1,320,000 ",0.49%
2019년 11월 26일,"82,300 ","82,000 ","84,100 ","82,000 ","4,500,000 ",0.73%
2019년 11월 25일,"81,700 ","82,300 ","83,300 ","81,500 ","2,600,000 ",0.00%
2019년 11월 22일,"81,700 ","80,900 ","82,100 ","80,700 ","2,060,000 ",0.99%
2019년 11월 21일,"80,900 ","81,700 ","82,500 ","80,500 ","3,170,000 ",-2.18%
2019년 11월 20일,"82,700 ","84,400 ","85,200 ","82,600 ","3,310,000 ",-3.05%
2019년 11월 19일,"85,300 ","85,400 ","86,000 ","84,600 ","2,220,000 ",-0.23%
2019년 11월 18일,"85,500 ","86,000 ","86,500 ","84,700 ","1,810,000 ",0.35%
2019년 11월 15일,"85,200 ","84,200 ","85,200 ","83,400 ","2,390,000 ",2.16%
2019년 11월 14일,"83,400 ","83,200 ","83,800 ","82,900 ","1,520,000 ",0.00%
2019년 11월 13일,"83,400 ","83,300 ","83,600 ","82,300 ","1,280,000 ",0.24%
2019년 11월 12일,"83,200 ","81,900 ","83,200 ","81,300 ","1,550,000 ",2.34%
2019년 11월 11일,"81,300 ","82,500 ","82,500 ","80,700 ","2,170,000 ",-1.22%
2019년 11월 08일,"82,300 ","84,600 ","84,600 ","82,000 ","2,070,000 ",-1.56%
2019년 11월 07일,"83,600 ","83,700 ","84,300 ","82,800 ","1,570,000 ",0.12%
2019년 11월 06일,"83,500 ","84,800 ","85,200 ","83,500 ","2,120,000 ",-1.88%
2019년 11월 05일,"85,100 ","85,100 ","85,400 ","84,600 ","1,940,000 ",0.47%
2019년 11월 04일,"84,700 ","84,000 ","84,900 ","83,800 ","2,170,000 ",1.93%
2019년 11월 01일,"83,100 ","82,300 ","83,200 ","81,600 ","1,700,000 ",1.34%
2019년 10월 31일,"82,000 ","81,900 ","83,400 ","81,600 ","1,980,000 ",0.61%
2019년 10월 30일,"81,500 ","83,400 ","83,400 ","81,000 ","1,930,000 ",-1.81%
2019년 10월 29일,"83,000 ","84,000 ","84,000 ","82,900 ","1,640,000 ",0.12%
2019년 10월 28일,"82,900 ","83,400 ","84,000 ","82,600 ","1,980,000 ",0.00%
2019년 10월 25일,"82,900 ","82,400 ","82,900 ","81,500 ","4,210,000 ",3.63%
2019년 10월 24일,"80,000 ","79,900 ","80,100 ","78,700 ","3,070,000 ",2.96%
2019년 10월 23일,"77,700 ","78,500 ","78,600 ","77,700 ","2,470,000 ",-1.77%
2019년 10월 22일,"79,100 ","78,900 ","79,300 ","78,200 ","3,000,000 ",2.06%
2019년 10월 21일,"77,500 ","77,800 ","78,400 ","77,100 ","2,090,000 ",0.13%
2019년 10월 18일,"77,400 ","81,500 ","81,700 ","77,300 ","5,880,000 ",-4.44%
2019년 10월 17일,"81,000 ","82,000 ","82,200 ","80,600 ","1,560,000 ",-1.70%
2019년 10월 16일,"82,400 ","82,400 ","82,700 ","81,900 ","2,260,000 ",1.48%
2019년 10월 15일,"81,200 ","80,700 ","81,700 ","80,500 ","1,400,000 ",0.87%
2019년 10월 14일,"80,500 ","82,000 ","82,300 ","80,400 ","1,890,000 ",0.63%
