날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 09월 23일,"58,600 ","58,400 ","58,800 ","57,500 ","573,000 ",0.69%
2020년 09월 22일,"58,200 ","59,200 ","59,700 ","57,800 ","64,000 ",-1.69%
2020년 09월 21일,"59,200 ","59,100 ","60,000 ","59,000 ","14,950,000 ",-0.17%
2020년 09월 18일,"59,300 ","59,800 ","59,900 ","59,100 ","18,630,000 ",-0.34%
2020년 09월 17일,"59,500 ","60,600 ","60,800 ","59,300 ","1,107,000 ",-2.46%
2020년 09월 16일,"61,000 ","61,100 ","61,300 ","60,600 ","727,000 ",0.00%
2020년 09월 15일,"61,000 ","60,800 ","61,000 ","60,500 ","207,000 ",0.99%
2020년 09월 14일,"60,400 ","60,300 ","60,700 ","60,000 ","71,000 ",2.37%
2020년 09월 11일,"59,000 ","59,300 ","59,400 ","58,200 ","15,930,000 ",-0.34%
2020년 09월 10일,"59,200 ","59,800 ","60,000 ","59,100 ","750,000 ",1.37%
2020년 09월 09일,"58,400 ","58,300 ","59,300 ","57,800 ","188,000 ",-0.51%
2020년 09월 08일,"58,700 ","57,400 ","58,700 ","57,200 ","2,453,000 ",3.89%
2020년 09월 07일,"56,500 ","56,000 ","57,300 ","55,800 ","24,000 ",1.62%
2020년 09월 04일,"55,600 ","55,200 ","55,800 ","55,100 ","21,980,000 ",-1.42%
2020년 09월 03일,"56,400 ","55,500 ","56,700 ","55,500 ","665,000 ",3.68%
2020년 09월 02일,"54,400 ","54,600 ","55,100 ","54,100 ","69,000 ",0.37%
2020년 09월 01일,"54,200 ","54,100 ","54,800 ","54,100 ","17,390,000 ",0.37%
2020년 08월 31일,"54,000 ","56,000 ","56,100 ","54,000 ","227,000 ",-2.53%
2020년 08월 28일,"55,400 ","56,100 ","56,300 ","55,400 ","14,530,000 ",-0.36%
2020년 08월 27일,"55,600 ","56,300 ","56,300 ","55,600 ","182,000 ",-1.42%
2020년 08월 26일,"56,400 ","56,300 ","56,500 ","55,700 ","355,000 ",0.00%
2020년 08월 25일,"56,400 ","56,500 ","56,800 ","56,100 ","155,000 ",0.53%
2020년 08월 24일,"56,100 ","55,800 ","56,600 ","55,400 ","21,000 ",0.36%
2020년 08월 21일,"55,900 ","56,200 ","56,900 ","55,800 ","21,090,000 ",0.90%
2020년 08월 20일,"55,400 ","57,600 ","57,600 ","55,300 ","381,000 ",-4.15%
2020년 08월 19일,"57,800 ","59,000 ","59,200 ","57,800 ","1,842,000 ",-1.03%
2020년 08월 18일,"58,400 ","59,000 ","59,900 ","58,000 ","164,000 ",0.69%
2020년 08월 14일,"58,000 ","58,000 ","58,400 ","57,700 ","15,600,000 ",-1.19%
2020년 08월 13일,"58,700 ","59,300 ","59,500 ","58,000 ","1,101,000 ",-0.51%
2020년 08월 12일,"59,000 ","58,300 ","59,000 ","57,700 ","160,000 ",1.37%
2020년 08월 11일,"58,200 ","58,000 ","59,500 ","57,800 ","5,217,000 ",0.69%
2020년 08월 10일,"57,800 ","57,600 ","58,300 ","57,500 ","118,000 ",0.52%
2020년 08월 07일,"57,500 ","57,900 ","58,400 ","57,100 ","18,160,000 ",-0.86%
2020년 08월 06일,"58,000 ","57,200 ","58,400 ","57,100 ","787,000 ",1.93%
2020년 08월 05일,"56,900 ","57,400 ","57,400 ","56,300 ","631,000 ",-0.70%
2020년 08월 04일,"57,300 ","57,200 ","58,100 ","57,000 ","192,000 ",0.88%
2020년 08월 03일,"56,800 ","57,900 ","57,900 ","56,700 ","40,000 ",-1.90%
2020년 07월 31일,"57,900 ","59,500 ","59,600 ","57,700 ","21,860,000 ",-1.86%
2020년 07월 30일,"59,000 ","59,700 ","60,100 ","59,000 ","460,000 ",0.00%
2020년 07월 29일,"59,000 ","60,300 ","60,300 ","58,600 ","124,000 ",0.68%
2020년 07월 28일,"58,600 ","56,800 ","58,800 ","56,400 ","6,478,000 ",5.40%
2020년 07월 27일,"55,600 ","54,400 ","55,700 ","54,400 ","247,000 ",2.58%
2020년 07월 24일,"54,200 ","54,000 ","54,400 ","53,700 ","10,910,000 ",0.18%
2020년 07월 23일,"54,100 ","54,700 ","54,700 ","53,800 ","15,910,000 ",-1.10%
2020년 07월 22일,"54,700 ","55,300 ","55,500 ","54,700 ","304,000 ",-1.08%
2020년 07월 21일,"55,300 ","55,100 ","55,400 ","54,800 ","585,000 ",2.03%
2020년 07월 20일,"54,200 ","54,700 ","54,800 ","54,100 ","94,000 ",-0.37%
2020년 07월 17일,"54,400 ","54,200 ","54,700 ","54,100 ","10,040,000 ",1.12%
2020년 07월 16일,"53,800 ","54,800 ","54,800 ","53,800 ","329,000 ",-1.65%
2020년 07월 15일,"54,700 ","54,400 ","55,000 ","54,400 ","139,000 ",1.67%
2020년 07월 14일,"53,800 ","53,700 ","53,800 ","53,200 ","46,000 ",0.75%
2020년 07월 13일,"53,400 ","53,500 ","53,700 ","53,300 ","533,000 ",1.33%
2020년 07월 10일,"52,700 ","53,100 ","53,200 ","52,300 ","13,650,000 ",-0.19%
2020년 07월 09일,"52,800 ","53,300 ","53,600 ","52,800 ","264,000 ",-0.38%
2020년 07월 08일,"53,000 ","53,600 ","53,900 ","52,900 ","22,000 ",-0.75%
2020년 07월 07일,"53,400 ","55,900 ","55,900 ","53,400 ","1,378,000 ",-2.91%
2020년 07월 06일,"55,000 ","53,900 ","55,000 ","53,800 ","50,000 ",2.61%
2020년 07월 03일,"53,600 ","53,000 ","53,600 ","52,700 ","11,820,000 ",1.32%
2020년 07월 02일,"52,900 ","52,300 ","52,900 ","52,200 ","55,000 ",0.57%
2020년 07월 01일,"52,600 ","53,400 ","53,500 ","52,400 ","158,000 ",-0.38%
2020년 06월 30일,"52,800 ","53,800 ","53,800 ","52,800 ","4,000 ",0.76%
2020년 06월 29일,"52,400 ","52,600 ","53,200 ","52,000 ","6,000 ",-1.69%
2020년 06월 26일,"53,300 ","52,800 ","53,900 ","52,200 ","21,420,000 ",2.70%
2020년 06월 25일,"51,900 ","52,200 ","53,000 ","51,900 ","6,000 ",-1.89%
2020년 06월 24일,"52,900 ","51,900 ","53,900 ","51,600 ","228,000 ",2.92%
